id,candidatoId,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,fecha
30,16,4,5,4,2,2,3,2,2,4,3,3,2,2,1,3,3,2,3,5,4,3,3,5,4,4,4,2019-02-03T16:13:13.649130
31,9,4,4,1,2,3,5,5,4,5,4,1,1,5,2,4,4,3,1,2,5,5,5,5,4,3,5,2019-02-04T22:14:04.368663
32,4,3,4,3,4,4,4,2,3,4,2,4,2,4,2,4,4,2,3,2,1,3,2,5,1,1,4,2019-02-05T13:03:33.624680
33,19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-02-05T16:06:41.040221
34,18,4,4,3,2,5,4,3,3,4,2,3,1,4,2,3,4,2,3,1,1,2,4,4,2,1,4,2019-02-05T16:39:54.482634
35,20,4,5,1,5,4,5,5,4,4,3,4,4,5,4,4,4,5,1,4,4,4,5,5,2,2,4,2019-02-06T16:33:27.625946
36,17,4,5,4,2,4,5,2,4,5,2,1,3,4,3,2,3,2,2,1,1,4,3,5,2,1,5,2019-02-06T16:47:40.714679
37,4,2,5,3,3,5,4,4,4,4,4,4,2,4,2,4,4,4,3,3,2,4,3,5,3,2,5,2019-02-06T16:51:44.308477
38,3,4,4,3,4,5,5,3,2,3,4,4,3,4,2,1,3,1,4,1,1,1,1,5,1,1,5,2019-02-06T16:52:06.318997
39,3,3,4,5,2,4,4,2,2,4,4,2,1,4,1,1,4,1,5,2,1,1,2,5,1,1,3,2019-02-06T17:00:09.220160
40,20,3,1,1,2,4,4,4,3,1,4,4,1,1,1,3,3,1,1,4,4,4,4,5,1,1,4,2019-02-06T17:14:00.246469
41,3,2,3,4,2,4,4,2,2,4,3,3,1,4,2,3,4,1,4,2,1,2,2,5,1,1,4,2019-02-06T17:14:33.621159
42,3,4,4,3,4,4,4,3,3,4,4,1,3,4,4,2,4,4,4,2,3,3,2,5,2,2,4,2019-02-06T17:44:43.482259
43,4,4,5,4,2,5,4,2,5,4,2,3,4,3,2,3,4,1,3,1,1,2,4,3,1,1,4,2019-02-06T18:10:29.764231
44,3,4,5,3,3,4,5,5,4,3,3,4,3,5,4,4,4,4,2,3,2,4,4,5,2,1,5,2019-02-06T18:30:28.400279
45,4,4,4,4,2,5,4,2,2,4,4,5,2,4,2,2,3,2,2,2,2,2,4,5,2,1,4,2019-02-06T18:33:14.986788
46,16,3,5,3,3,5,5,4,3,4,3,2,2,4,3,4,4,5,5,2,3,4,3,5,3,3,4,2019-02-06T18:33:36.799470
47,3,2,5,5,1,4,5,1,1,5,5,4,5,5,1,2,3,1,4,2,1,1,1,5,1,1,5,2019-02-06T22:02:08.552799
48,3,3,5,5,1,2,5,4,4,5,3,2,4,5,2,2,4,4,5,2,2,4,5,5,1,1,5,2019-02-07T03:45:47.511548
49,17,2,5,1,5,1,5,5,5,4,3,4,3,5,4,5,5,5,2,3,4,5,5,4,5,1,4,2019-02-07T12:51:33.808527
50,20,4,5,2,5,1,5,4,4,3,5,1,1,5,4,2,5,5,3,4,5,5,5,5,3,2,5,2019-02-07T14:54:39.456292
51,18,4,5,4,2,3,4,4,2,4,2,4,1,5,4,3,4,4,2,3,3,3,5,5,3,3,5,2019-02-07T14:59:03.991698
52,17,4,5,3,5,4,3,5,3,5,2,2,2,5,3,3,3,4,2,2,2,4,2,5,3,2,4,2019-02-07T15:01:42.347442
53,4,3,2,4,2,5,4,4,4,2,2,4,1,4,3,2,4,2,1,1,1,4,3,5,1,1,4,2019-02-07T15:06:01.153433
54,18,2,5,4,2,4,5,4,2,4,4,2,4,4,2,4,4,2,2,3,2,1,2,5,2,1,5,2019-02-07T15:07:20.471282
55,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-02-07T15:07:50.534203
56,17,5,5,3,5,3,5,5,4,5,1,2,1,5,2,3,3,3,2,1,5,3,3,5,1,2,5,2019-02-07T15:09:14.571197
57,3,2,2,5,2,3,2,1,4,4,4,1,1,4,1,1,4,2,4,1,1,1,1,5,1,1,4,2019-02-07T15:10:43.354845
58,4,2,2,4,2,5,3,3,2,4,3,5,2,5,2,1,5,4,2,3,1,3,2,5,4,1,5,2019-02-07T15:16:35.745799
59,2,2,2,4,3,4,1,4,1,4,3,3,1,3,1,1,4,1,4,2,1,1,3,5,1,1,4,2019-02-07T15:18:26.451945
60,3,3,2,5,3,4,3,2,3,4,4,2,4,5,4,1,4,2,3,2,1,2,5,5,1,1,5,2019-02-07T15:20:58.874500
